engine,BPR,OPR,year,mode_pct,thrust_kN,fuel_kg_s,TSFC
CFM56-7B26E/F,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B26E/B2F,5.1,27.7,2005.0,1.0,117.0,1.213,0.037323076923076924
CFM56-7B27E,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/B1,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/B3,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27AE,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/F,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
CFM56-7B27E/B1F,5.1,29.0,2005.0,1.0,121.4,1.293,0.038342668863261944
LEAP-1A26/26E1,11.1,33.4,2016.0,1.0,120.6,0.855,0.025522388059701494
LEAP-1A35A/33/33B2/32/30,10.5,38.6,2016.0,1.0,143.1,1.058,0.026616352201257864
LEAP-1A24/24E1/23,11.3,30.0,2016.0,1.0,106.8,0.745,0.0251123595505618
LEAP-1A26/26E1,11.1,33.3,2016.0,1.0,120.6,0.861,0.025701492537313433
LEAP-1A35A/33/33B2/32/30,10.5,38.5,2016.0,1.0,143.1,1.062,0.026716981132075473
LEAP-1A26CJ,11.1,33.3,2016.0,1.0,120.6,0.861,0.025701492537313433
LEAP-1A29,10.7,35.5,2016.0,1.0,130.3,0.946,0.02613660782808902
LEAP-1A29CJ,10.7,35.5,2016.0,1.0,130.3,0.946,0.02613660782808902
LEAP-1A24/24E1/23,11.3,30.0,2016.0,1.0,106.8,0.745,0.0251123595505618
LEAP-1A26/26E1,11.1,33.3,2016.0,1.0,120.6,0.861,0.025701492537313433
LEAP-1A26CJ,11.1,33.3,2016.0,1.0,120.6,0.861,0.025701492537313433
LEAP-1A29,10.7,35.5,2016.0,1.0,130.3,0.946,0.02613660782808902
LEAP-1A29CJ,10.7,35.5,2016.0,1.0,130.3,0.946,0.02613660782808902
LEAP-1A35A/33/33B2/32/30,10.5,38.5,2016.0,1.0,143.1,1.062,0.026716981132075473
LEAP-1B28,8.6,41.5,2016.0,1.0,130.4,1.061,0.029291411042944783
LEAP-1B28B2,8.6,41.5,2016.0,1.0,130.4,1.061,0.029291411042944783
LEAP-1B27,8.5,39.92,2016.0,1.0,124.7,1.002,0.02892702485966319
LEAP-1B25,8.4,38.4,2016.0,1.0,119.2,0.946,0.028570469798657717
LEAP-1B21,8.5,36.8,2016.0,1.0,111.3,0.877,0.028366576819407005
LEAP-1B23,8.5,37.9,2016.0,1.0,115.2,0.916,0.028624999999999998
LEAP-1B25,8.4,40.135,2016.0,1.0,119.2,0.96,0.028993288590604026
LEAP-1B28BBJ2,8.3,40.5,2016.0,1.0,124.7,1.014,0.02927345629510826
LEAP-1B27,8.3,40.5,2016.0,1.0,124.7,1.014,0.02927345629510826
LEAP-1B28B2C,8.3,40.5,2016.0,1.0,124.7,1.014,0.02927345629510826
LEAP-1B28BBJ1,8.3,42.0,2016.0,1.0,130.4,1.075,0.029677914110429447
LEAP-1B28/28B2/28B1/28B3,8.3,42.0,2016.0,1.0,130.4,1.075,0.029677914110429447
LEAP-1B21,8.5,36.8,2016.0,1.0,111.3,0.877,0.028366576819407005
LEAP-1B23,8.5,37.9,2016.0,1.0,115.2,0.916,0.028624999999999998
LEAP-1B25,8.4,40.135,2016.0,1.0,119.2,0.96,0.028993288590604026
LEAP-1B27,8.3,40.5,2016.0,1.0,124.7,1.014,0.02927345629510826
LEAP-1B28B2C,8.3,40.5,2016.0,1.0,124.7,1.014,0.02927345629510826
LEAP-1B28BBJ1,8.3,42.0,2016.0,1.0,130.4,1.075,0.029677914110429447
LEAP-1B28BBJ2,8.3,40.5,2016.0,1.0,124.7,1.014,0.02927345629510826
LEAP-1B28/28B1/28B2/28B3,8.3,42.0,2016.0,1.0,130.4,1.075,0.029677914110429447
GP7270,8.71,36.62,2005.0,1.0,332.39,2.637,0.02856042600559584
CF34-10A16,5.7,25.1,2006.0,1.0,76.9,0.765,0.03581274382314695
CF34-10A16/16-B,5.7,25.1,2006.0,1.0,76.9,0.765,0.03581274382314695
CF34-10A18,5.4,26.5,2006.0,1.0,82.1,0.826,0.036219244823386114
CF34-10E2A1,5.09,25.1,2004.0,1.0,75.44,0.769,0.03669671261930011
CF34-10E2A1,5.09,25.1,2004.0,1.0,75.44,0.769,0.03669671261930011
CF34-10E5,5.09,25.6,2006.0,1.0,77.4,0.789,0.03669767441860465
CF34-10E5,5.09,25.5,2009.0,1.0,77.4,0.792,0.036837209302325584
CF34-10E5,5.09,25.6,2004.0,1.0,77.4,0.792,0.036837209302325584
CF34-10E5A1,5.09,27.3,2006.0,1.0,83.7,0.866,0.037247311827956986
CF34-10E5A1,5.09,27.2,2009.0,1.0,83.7,0.87,0.03741935483870968
CF34-10E5A1,5.09,27.3,2004.0,1.0,83.7,0.871,0.03746236559139785
CF34-10E6,5.09,25.6,2006.0,1.0,77.4,0.789,0.03669767441860465
CF34-10E6,5.09,25.5,2009.0,1.0,77.4,0.792,0.036837209302325584
CF34-10E6,5.09,25.6,2004.0,1.0,77.4,0.792,0.036837209302325584
CF34-10E6A1,5.09,27.3,2006.0,1.0,83.7,0.866,0.037247311827956986
CF34-10E6A1,5.09,27.2,2009.0,1.0,83.7,0.87,0.03741935483870968
CF34-10E6A1,5.09,27.3,2004.0,1.0,83.7,0.871,0.03746236559139785
CF34-10E7,5.09,27.3,2006.0,1.0,83.7,0.866,0.037247311827956986
CF34-10E7,5.09,27.2,2009.0,1.0,83.7,0.87,0.03741935483870968
CF34-10E7,5.09,27.3,2004.0,1.0,83.7,0.871,0.03746236559139785
CF34-10E7-B,5.09,27.2,2009.0,1.0,83.7,0.87,0.03741935483870968
CF34-3A,6.25,19.7,1991.0,1.0,41.01,0.407,0.03572787125091441
CF34-3A1,6.25,19.7,1991.0,1.0,41.01,0.407,0.03572787125091441
CF34-3B,6.25,19.3,1991.0,1.0,41.01,0.3991,0.03503438185808339
CF34-3B/-3B1,6.25,19.3,1991.0,1.0,41.01,0.3991,0.03503438185808339
CF34-8C1,5.13,23.03,,1.0,56.36,0.6042,0.03859332860184528
CF34-8C1 Block 1,5.13,22.15,2002.0,1.0,56.36,0.608,0.0388360539389638
CF34-8C5,5.13,23.09,2002.0,1.0,59.42,0.6481,0.03926556714910804
CF34-8C5,5.13,23.09,2002.0,1.0,59.42,0.648,0.0392595085829687
CF34-8C5A1,5.13,23.49,2002.0,1.0,60.62,0.665,0.0394919168591224
CF34-8C5A2,5.13,24.12,2002.0,1.0,62.49,0.691,0.03980796927508401
CF34-8C5A3,5.13,24.82,2002.0,1.0,64.53,0.721,0.0402231520223152
CF34-8C5B1,5.13,22.08,2002.0,1.0,56.35,0.606,0.03871517302573203
CF34-8E2,5.13,21.71,2002.0,1.0,55.19,0.5906,0.03852437035694872
CF34-8E2,5.13,21.71,2002.0,1.0,55.19,0.591,0.03855046204022468
CF34-8E2A1,5.13,23.0,2002.0,1.0,59.15,0.644,0.039195266272189354
CF34-8E5,5.13,23.18,2002.0,1.0,59.68,0.6518,0.03931769436997319
CF34-8E5,5.13,23.18,2002.0,1.0,59.68,0.652,0.03932975871313674
CF34-8E5A1,5.13,24.12,2002.0,1.0,62.49,0.6914,0.03983101296207393
CF34-8E5A1,5.13,24.12,2002.0,1.0,62.49,0.691,0.03980796927508401
CF34-8E5A2,5.13,24.82,2002.0,1.0,64.53,0.721,0.0402231520223152
CF34-8E6,5.13,23.18,2002.0,1.0,59.68,0.652,0.03932975871313674
CF34-8E6A1,5.13,24.12,2002.0,1.0,62.49,0.691,0.03980796927508401
CF34-8C5,5.13,23.09,2002.0,1.0,59.42,0.648,0.0392595085829687
CF34-8C5A1,5.13,23.49,2002.0,1.0,60.62,0.665,0.0394919168591224
CF34-8C5B1,5.13,22.08,2002.0,1.0,56.35,0.606,0.03871517302573203
CF34-8C5A2,5.13,24.12,2002.0,1.0,62.49,0.691,0.03980796927508401
CF34-8C5A3,5.13,24.82,2002.0,1.0,64.53,0.721,0.0402231520223152
CF34-8E2,5.13,21.71,2002.0,1.0,55.19,0.591,0.03855046204022468
CF34-8E2A1,5.13,23.0,2002.0,1.0,59.15,0.644,0.039195266272189354
CF34-8E5,5.13,23.18,2002.0,1.0,59.68,0.652,0.03932975871313674
CF34-8E5A1,5.13,24.12,2002.0,1.0,62.49,0.691,0.03980796927508401
CF34-8E5A2,5.13,24.82,2002.0,1.0,64.53,0.721,0.0402231520223152
CF34-8E6,5.13,23.18,2002.0,1.0,59.68,0.652,0.03932975871313674
CF34-8E6A1,5.13,24.12,2002.0,1.0,62.49,0.691,0.03980796927508401
CF6-45A,4.3,25.38,1987.0,1.0,202.8,2.027,0.03598224852071006
